Player Name,GP,G,A.,Pts,PIM,Seasons,Yrs.,Pos.,Birthdate,Birthplace
Mike McMahon,55,7,18,25,100,1942-1946,3,D,1917-02-01,"Brockville, ONT"
Sid McNabney‡,,,,,,1950-1951,1,C,1929-01-15,"Toronto, ONT"
Howard McNamara,11,1,0,1,2,1919-1920,1,,,
Gerry McNeil,276,0,0,0,2,1947-1957,7,G,1926-04-17,"Quebec City, PQ"
Michael McNiven,1,0,0,0,0,2021-2022,1,G,1997-07-09,"Winnipeg, MAN"
Mike McPhee,581,162,162,324,581,1983-1992,9,F,1960-02-14,"Sydney, NS"
Rick Meagher,2,0,0,0,0,1979-1980,1,C,1953-11-04,"Belleville, ONT"
Paul Meger,212,39,52,91,118,1949-1955,6,L,1929-02-17,"Watrous, SASK"
Rollie Melanson,9,0,0,0,0,1991-1992,1,G,1960-06-28,"Moncton, NB"
"William ""Smiley"" Meronek",19,5,8,13,0,1939-1943,2,C,,
Jon Merrill,13,0,0,0,4,2020-2021,1,D,1992-02-03,"Oklahoma City, OK"
Victor Mete,185,4,30,34,36,2017-2021,4,D,1998-06-07,"Woodbridge, ONT"
Glen Metropolit,90,18,14,32,37,2008-2010,2,C,1974-06-25,"Toronto, ONT"
Olivier Michaud,1,0,0,0,0,2001-2002,1,G,1983-09-14,"Beloeil, PQ"
Larry Mickey,21,4,4,8,4,1969-1970,1,R,1943-10-21,"Lacombe, ALTA"
Bill Miller,65,4,3,7,14,1935-1937,2,,,
Duncan Milroy,5,0,1,1,0,2006-2007,1,R,1983-02-08,"Edmonton, ALTA"
Torrey Mitchell,174,19,18,37,99,2014-2018,4,C,1985-01-30,"Greenfield Park, PQ"
Travis Moen,328,27,42,69,279,2009-2015,6,L,1982-04-06,"Stewart Valley, SASK"
Sergio Momesso,137,29,38,67,243,1983-1988,4,L,1965-09-04,"Montreal, PQ"
Garry Monahan,14,0,0,0,8,1967-1969,2,C,1946-10-20,"Barrie, ONT"
Sean Monahan,74,19,33,52,26,2022-2024,2,C,1994-10-12,"Brampton, ONT"
Armand Mondou,385,47,71,118,99,1928-1940,12,L,1905-06-27,"Yamaska, PQ"
Pierre Mondou,548,194,262,456,179,1976-1985,9,F,1955-11-27,"Sorel, PQ"
Samuel Montembeault,101,0,2,2,0,2021-2024,3,G,1996-10-30,"Becancour, PQ"
Jim Montgomery,5,0,0,0,2,1994-1995,1,C,1969-06-30,"Montreal, PQ"
Al Montoya,23,0,3,3,2,2016-2018,2,G,1985-02-13,"Chicago, IL"
Andy Moog,42,0,0,0,4,1997-1998,1,G,1960-02-18,"Penticton, BC"
Dickie Moore,654,254,340,594,575,1951-1963,12,L,1931-01-06,"Montreal, PQ"
Dominic Moore,21,2,9,11,8,2009-2010,1,C,1980-08-03,"Thornhill, ONT"
Amby Moran,12,0,0,0,10,1926-1927,1,,,
Howie Morenz,460,256,156,412,484,1923-1937,12,C,1902-06-21,"Mitchell, ONT"
Pete Morin,31,10,12,22,7,1941-1942,1,L,1915-12-08,"Montreal, PQ"
Dave Morissette,11,0,0,0,57,1998-2000,2,L,1971-12-24,"Baie-Comeau, PQ"
Jean-Guy Morissette,1,0,0,0,0,1963-1964,1,G,1937-12-16,"Causapscal, PQ"
Joe Morrow,38,5,6,11,26,2017-2018,1,D,1992-12-09,"Edmonton, ALTA"
Ken Mosdell,628,132,155,287,449,1944-1959,14,C,1922-07-13,"Montreal, PQ"
Kirk Muller,267,104,143,247,292,1991-1995,4,C,1966-02-08,"Kingston, ONT"
Harry Mummery,24,15,5,20,68,1920-1921,1,,,
Dunc Munro,48,1,1,2,14,1931-1932,1,,,
Bob Murdoch,81,3,25,28,65,1970-1973,3,D,1947-05-17,"Kirkland Lake, ONT"
Hal Murphy,1,0,0,0,0,1952-1953,1,G,,"Shawinigan Falls, PQ"
Chris Murray,107,7,6,13,281,1994-1997,3,R,1974-10-25,"Port Hardy, BC"
Douglas Murray,53,0,2,2,42,2013-2014,1,D,1980-03-12,"Bromma, Sweden"
Garth Murray,80,7,2,9,76,2005-2008,3,C,1982-09-17,"Regina, SASK"
Leo Murray,6,0,0,0,2,1932-1933,1,C,1899-08-24,"Montreal, PQ"
Mickey Murray,1,0,0,0,0,1929-1930,1,G,1898-10-14,"Peterborough, ONT"
Phil Myre,49,0,1,1,23,1969-1972,3,G,1948-11-01,"Sainte-Anne-de-Bellevue, PQ"
Mark Napier,367,145,159,304,62,1978-1984,6,R,1957-01-28,"Toronto, ONT"
Brendon Nash,2,0,0,0,0,2010-2011,1,D,1987-03-31,"Kamloops, BC"
Mats Naslund,617,243,369,612,107,1982-1990,8,F,1959-10-31,"Timra, Sweden"
Alain Nasreddine,8,0,0,0,33,1998-1999,1,D,1975-07-10,"Montreal, PQ"
Joonas Nattinen,1,0,0,0,0,2013-2014,1,C,1991-01-03,"Jamsa, Finland"
Ric Nattress,79,1,16,17,36,1982-1985,3,D,1962-05-25,"Hamilton, ONT"
Nikita Nesterov,13,1,4,5,4,2016-2017,1,D,1993-03-28,"Chelyabinsk, Russia"
John Newberry,19,0,4,4,6,1982-1985,3,F,1962-04-08,"Port Alberni, BC"
Alex Newhook,23,7,6,13,8,2023-2024,1,C,2001-01-28,"St. John's, NFLD"
Dan Newman,16,0,2,2,4,1978-1979,1,L,1952-01-26,"Cottam, ONT"
Antti Niemi,36,0,1,1,0,2017-2019,2,G,1983-08-29,"Vantaa, Finland"
Janne Niinimaa,41,0,3,3,36,2006-2007,1,D,1975-05-22,"Raahe, Finland"
Sami Niku,13,0,6,6,2,2021-2022,1,D,1996-10-10,"Haapavesi, Finland"
Chris Nilan,523,88,87,175,2248,1979-1992,10,F,1958-02-09,"Boston, MA"
Petteri Nokelainen,51,3,3,6,37,2011-2012,1,R,1986-01-16,"Imatra, Finland"
Mattias Norlinder,6,0,1,1,2,2021-2022,1,D,2000-04-12,"Kramfors, Sweden"
Bill Nyrop,165,8,43,51,66,1975-1978,3,D,1952-07-23,"Edina, MN"
Ryan O'Byrne,128,2,14,16,181,2007-2011,4,D,1984-07-19,"Victoria, BC"
"Herbert ""Buddy"" O'Connor",271,78,155,233,22,1941-1947,6,C,1916-06-21,"Montreal, PQ"
"Jim ""Peggy"" O'Neill",24,0,4,4,4,1940-1942,2,R,1912-04-03,"Semans, SASK"
Lyle Odelein,420,20,75,95,1367,1989-1996,7,D,1968-07-21,"Quill Lake, SASK"
Gino Odjick,49,5,4,9,148,2000-2002,2,L,1970-09-07,"Maniwaki, PQ"
Bert Olmstead,508,103,280,383,609,1950-1958,8,R,1926-09-04,"Scepter, SASK"
Gustav Olofsson,3,0,0,0,2,2019-2020,1,D,1994-12-01,"Boras, Sweden"
Dave Orleski,2,0,0,0,0,1980-1982,2,L,1959-12-26,"Edmonton, ALTA"
Steve Ott,11,0,1,1,17,2016-2017,1,C,1982-08-19,"Summerside, PEI"
Xavier Ouellet,37,0,5,5,19,2018-2021,3,D,1993-07-29,"Bayonne, France"
Max Pacioretty,626,226,222,448,339,2008-2018,10,L,1988-11-20,"New Canaan, CT"
Pete Palangio,8,0,0,0,0,1926-1929,2,L,1908-09-10,"North Bay, ONT"
Aaron Palushaj,41,1,4,5,10,2010-2012,2,R,1989-09-07,"Livonia, MI"
Cedric Paquette,24,0,2,2,25,2021-2022,1,C,1993-08-13,"Gaspe, PQ"
P.A. Parenteau,56,8,14,22,30,2014-2015,1,R,1983-03-24,"Hull, PQ"
George Pargeter,4,0,0,0,0,1946-1947,1,L,1923-02-24,"Calgary, ALTA"
George Parros,22,0,1,1,85,2013-2014,1,R,1979-12-29,"Washington, PA"
Greg Paslawski,26,1,4,5,4,1983-1984,1,R,1961-08-25,"Kindersley, SASK"
Greg Pateryn,82,2,11,13,59,2012-2017,4,D,1990-06-20,"Sterling Heights, MI"
George Patterson,63,5,5,10,34,1927-1929,2,R,1907-05-22,"Kingston, ONT"
Roland Paulhus,33,0,0,0,0,1925-1926,1,D,1901-09-01,"Sorel, PQ"
Evariste Payer,1,0,0,0,0,1917-1918,1,,,
Tanner Pearson,30,4,4,8,13,2023-2024,1,L,1992-08-10,"Kitchener, ONT"
Matthew Peca,44,3,7,10,4,2018-2020,2,C,1993-04-27,"Petawawa, ONT"
Mark Pederson,56,8,17,25,20,1989-1991,2,L,1968-01-14,"Prelate, SASK"
Steve Penney,76,0,1,1,10,1983-1986,3,G,1961-02-02,"Sainte-Foy, PQ"
Cliff Pennington,4,1,0,1,0,1960-1961,1,C,1940-04-18,"Winnipeg, MAN"
Alexander Perezhogin,128,15,19,34,86,2005-2007,2,R,1983-08-10,"Ust-Kamenogorsk, Kazakhstan"
Bob Perreault,6,0,0,0,0,1955-1956,1,G,1931-01-28,"Trois-Rivieres, PQ"
Mathieu Perreault,25,4,5,9,4,2021-2022,1,C,1988-01-05,"Drummondville, PQ"
Yanic Perreault,224,67,66,133,110,2001-2004,3,C,1971-04-04,"Sherbrooke, PQ"
Corey Perry,49,9,12,21,39,2020-2021,1,R,1985-05-16,"Peterborough, ONT"
Garry Peters,17,0,3,3,8,1964-1967,2,C,1942-10-09,"Regina, SASK"
Jim Peters,129,23,35,58,43,1945-1948,3,R,1922-10-02,"Verdun, PQ"
Oleg Petrov,365,70,113,183,99,1992-2003,8,R,1971-04-18,"Moscow, Russia"
Jeff Petry,508,70,178,248,186,2014-2022,8,D,1987-12-09,"Ann Arbor, MI"
Michael Pezzetta,152,14,21,35,195,2021-2024,3,L,1998-03-13,"Toronto, ONT"
"Charlie ""Red"" Phillips",17,0,0,0,6,1942-1943,1,,,
Alexandre Picard,43,3,5,8,17,2010-2011,1,D,1985-07-05,"Gatineau, PQ"
Noel Picard,16,0,7,7,33,1964-1965,1,D,1938-12-25,"Montreal, PQ"
Robert Picard,141,11,61,72,172,1980-1984,4,D,1957-05-25,"Montreal, PQ"
Rem Pitlick,92,15,26,41,34,2021-2023,2,C,1997-04-02,"Ottawa, ONT"
Tyler Pitlick,14,1,2,3,4,2021-2022,1,C,1991-11-01,"Minneapolis, MN"
Didier Pitre,127,64,17,81,59,1917-1923,6,,,
Gerry Plamondon,74,7,13,20,10,1945-1951,5,,1924-01-05,"Sherbrooke, PQ"
Jacques Plante,556,0,2,2,72,1952-1963,11,G,1929-01-17,"Shawinigan Falls, PQ"
Michel Plasse,32,0,0,0,4,1972-1974,2,G,1949-06-01,"Montreal, PQ"
Larry Pleau,94,9,15,24,22,1969-1972,3,C,1947-06-29,"Boston, MA"
Tomas Plekanec,984,233,373,606,537,2003-2019,15,C,1982-10-31,"Kladno, Czech Rep."
Ryan Poehling,85,13,9,22,10,2018-2022,3,C,1999-01-03,"Lakeville, MN"
Gordon Poirier,10,0,1,1,0,1939-1940,1,F,1913-10-27,"Maple Creek, SASK"
Mike Polich,1,0,0,0,0,1976-1978,2,C,1953-02-19,"Hibbing, MN"
Peter Popovic,303,7,48,55,173,1993-1998,5,D,1968-02-10,"Koping, Sweden"
Jack Portland,173,7,32,39,151,1933-1943,5,D,1912-07-30,"Collingwood, ONT"
Patrick Poulin,277,31,44,75,65,1997-2002,5,L,1973-04-23,"Vanier, PQ"
Benoit Pouliot,118,28,26,54,118,2009-2011,2,L,1986-09-29,"Alfred, ONT"
Carey Price,712,0,13,13,51,2007-2022,15,G,1987-08-16,"Anahim Lake, BC"
Noel Price,39,0,9,9,16,1965-1967,2,D,1935-12-09,"Brockville, ONT"
Cayden Primeau,32,0,2,2,2,2019-2024,5,G,1999-08-11,"Farmington Hills, MI"
"George ""Goldie"" Prodger",24,0,0,0,0,1925-1926,1,,,
Andre Pronovost,290,48,61,109,226,1956-1961,5,L,1936-07-09,"Shawinigan Falls, PQ"
Claude Pronovost,2,0,0,0,0,1958-1959,1,G,1935-07-22,"Shawinigan Falls, PQ"
Christian Proulx,7,1,2,3,20,1993-1994,1,D,1973-12-10,"Coaticook, PQ"
Claude Provost,1005,254,335,589,469,1955-1970,15,R,1933-09-17,"Montreal, PQ"
Brandon Prust,172,15,30,45,365,2012-2015,3,L,1984-03-16,"London, ONT"
Jean Pusie,38,0,2,2,11,1930-1936,3,D,1910-10-15,"Montreal, PQ"
Tom Pyatt,101,4,8,12,19,2009-2011,2,L,1987-02-14,"Thunder Bay, ONT"
John Quilty,115,33,33,66,79,1940-1948,4,C,1921-01-21,"Ottawa, ONT"
Stephane Quintal,507,37,78,115,637,1995-2004,7,D,1968-10-22,"Boucherville, PQ"
Andre Racicot,68,0,2,2,6,1989-1994,5,G,1969-06-09,"Rouyn-Noranda, PQ"
Yves Racine,72,4,10,14,68,1994-1996,2,D,1969-02-07,"Matane, PQ"
Alexander Radulov,76,18,36,54,62,2016-2017,1,R,1986-07-05,"Nizhny Tagil, Russia"
Rob Ramage,14,0,2,2,10,1992-1994,2,D,1959-01-11,"Byron, ONT"
Armand Raymond,22,0,3,3,14,1937-1940,2,D,1913-01-12,"Montreal, PQ"
"Paul ""Marcel"" Raymond",65,2,1,3,2,1932-1935,3,C,1913-02-27,"Montreal, PQ"
Ken Reardon,341,26,96,122,604,1940-1950,7,D,1921-04-01,"Winnipeg, MAN"
Terry Reardon,46,23,23,46,26,1941-1943,2,C,1919-04-06,"Winnipeg, MAN"
Marc Reaume,3,0,0,0,2,1963-1964,1,D,1934-02-07,"LaSalle, ONT"
Billy Reay,475,103,162,265,202,1945-1953,8,C,1918-08-21,"Winnipeg, MAN"
Mark Recchi,346,120,202,322,222,1994-1999,5,R,1968-02-01,"Kamloops, BC"
Mickey Redmond,221,56,63,119,112,1967-1971,4,R,1947-12-27,"Kirkland Lake, ONT"
Zach Redmond,16,0,5,5,2,2016-2017,1,D,1988-07-26,"Traverse City, MI"
Mike Reilly,90,3,20,23,30,2017-2020,3,D,1993-07-13,"Chicago, IL"
Herb Rheaume,31,0,0,0,0,1925-1926,1,G,1900-01-12,"Mason, PQ"
Mike Ribeiro,276,50,103,153,92,1999-2006,6,C,1980-02-10,"Montreal, PQ"
Anthony Richard,13,3,2,5,6,2022-2023,1,C,1996-12-20,"Trois-Rivieres, PQ"
Henri Richard,1258,358,688,1046,928,1955-1975,20,F,1936-02-29,"Montreal, PQ"
"Maurice ""Rocket"" Richard",978,544,422,966,1285,1942-1960,18,R,1921-08-04,"Montreal, PQ"
Stephane Richer,490,225,196,421,399,1984-1998,9,L,1966-06-07,"Buckingham, PQ"
Barry Richter,25,0,2,2,10,1999-2001,2,D,1970-09-11,"Madison, WI"
Vincent Riendeau,1,0,0,0,0,1987-1988,1,G,1966-04-20,"Saint-Hyacinthe, PQ"
Jack Riley,95,10,22,32,8,1933-1935,2,C,1910-12-29,"Berkenla, Ireland"
Howard Riopelle,169,27,16,43,73,1947-1950,3,L,1922-01-30,"Ottawa, ONT"
Doug Risebrough,493,117,185,302,959,1974-1982,8,F,1954-01-29,"Kitchener, ONT"
Dave Ritchie,12,0,0,0,0,1920-1926,3,,,
Gus Rivers,88,4,5,9,12,1929-1932,3,R,1909-11-19,"Winnipeg, MAN"
Craig Rivet,653,39,112,151,795,1994-2007,12,D,1974-09-13,"North Bay, ONT"
Mario Roberge,112,7,7,14,314,1990-1995,5,L,1964-01-23,"Quebec, PQ"
Claude Robert,23,1,0,1,9,1950-1951,1,L,1928-08-10,"Montreal, PQ"
Phil Roberto,74,17,10,27,106,1969-1972,3,R,1949-01-01,"Niagara Falls, ONT"
Jim Roberts,611,63,100,163,299,1963-1977,10,D,1940-04-09,"Toronto, ONT"
George Robertson,31,2,5,7,6,1947-1949,2,,1927-05-11,"Winnipeg, MAN"
Stephane Robidas,122,7,16,23,28,1999-2002,3,D,1977-03-03,"Sherbrooke, PQ"
Earl Robinson,11,1,4,5,4,1939-1940,1,R,1907-03-11,"Montreal, PQ"
Larry Robinson,1202,197,686,883,706,1972-1989,17,D,1951-06-02,"Winchester, ONT"
Moe Robinson,1,0,0,0,0,1979-1980,1,D,1957-05-29,"Winchester, ONT"
Desse Roche,5,0,1,1,0,1934-1935,1,R,,"Kemptville, ONT"
Ernie Roche,4,0,0,0,2,1950-1951,1,D,1930-02-04,"Montreal, PQ"
Leon Rochefort,97,16,18,34,10,1963-1971,5,F,1939-05-04,"Cap-de-la-Madeleine, PQ"
Alexander Romanov,133,4,15,19,74,2020-2022,2,D,2000-01-06,"Moscow, Russia"
Ed Ronan,147,12,19,31,74,1991-1995,4,R,1968-03-21,"Quincy, MA"
Paul Ronty,5,0,0,0,0,1954-1955,1,C,1928-07-12,"Toronto, ONT"
Steve Rooney,43,3,3,6,143,1984-1987,3,F,1963-06-28,"Canton, MA"
Bill Root,118,6,16,22,69,1982-1984,2,D,1959-09-06,"Toronto, ONT"
"Felix ""Rollie"" Rossignol",5,2,2,4,2,1944-1945,1,R,1922-10-18,"Edmundston, NB"
Randy Rota,2,1,1,2,0,1972-1973,1,L,1950-08-16,"Creston, BC"
Bobby Rousseau,643,200,322,522,317,1960-1970,10,R,1940-07-26,"Montreal, PQ"
Guy Rousseau,4,0,1,1,2,1954-1957,2,L,1934-12-21,"Montreal, PQ"
Rollie Rousseau,2,0,0,0,0,1952-1953,1,D,1929-12-01,"Montreal, PQ"
Joshua Roy,6,1,1,2,0,2023-2024,1,R,2003-08-06,"Saint-Georges-De-Bea, PQ"
Patrick Roy,551,0,28,28,110,1984-1996,12,G,1965-10-05,"Quebec, PQ"
Martin Rucinsky,432,134,163,297,398,1995-2002,7,L,1971-03-11,"Most, Czech Rep."
Thomas Rundqvist,2,0,1,1,0,1984-1985,1,F,1960-05-04,
Paul Runge,19,1,2,3,8,1934-1937,3,C,1908-09-10,"Edmonton, ALTA"
Terry Ryan,8,0,0,0,36,1996-1999,3,L,1977-01-14,"St. John's, NFLD"
Kerby Rychel,4,1,1,2,2,2017-2018,1,L,1994-10-07,"Torrance, CA"
Michael Ryder,341,109,119,228,164,2003-2013,5,R,1980-03-31,"Bonavista, NFLD"
Sergei Samsonov,63,9,17,26,10,2006-2007,1,L,1978-10-27,"Moscow, Russia"
Scott Sandelin,9,0,1,1,2,1986-1988,2,D,1964-08-08,"Hibbing, MN"
Charlie Sands,159,28,58,86,20,1939-1943,4,R,1911-03-23,"Fort William, ONT"
Yves Sarault,22,0,1,1,4,1994-1996,2,L,1972-12-23,"Valleyfield, PQ"
Glen Sather,63,6,10,16,44,1974-1975,1,L,1943-09-02,"High River, ALTA"
Brian Savage,461,155,130,285,225,1993-2002,9,L,1971-02-24,"Sudbury, ONT"
"Gordon ""Tony"" Savage",41,1,5,6,4,1934-1935,1,D,1906-08-19,"Calgary, ALTA"
David Savard,151,10,38,48,88,2021-2024,3,D,1990-10-22,"Saint-Hyacinthe, PQ"
Denis Savard,210,72,107,179,215,1990-1993,3,F,1961-02-04,"Pointe Gatineau, PQ"
Serge Savard,917,100,312,412,537,1966-1981,15,D,1946-01-22,"Montreal, PQ"
Marco Scandella,20,1,2,3,8,2019-2020,1,D,1990-02-23,"Montreal, PQ"
Nikita Scherbak,29,5,2,7,8,2016-2018,2,R,1995-12-30,"Moscow, Russia"
David Schlemko,55,1,6,7,10,2017-2019,2,D,1987-05-07,"Edmonton, ALTA"
Mathieu Schneider,383,68,148,216,378,1987-2009,8,D,1969-06-12,"New York, NY"
Dwight Schofield,2,0,0,0,7,1982-1983,1,D,1956-03-25,"Waltham, MA"
Corey Schueneman,31,2,5,7,8,2021-2023,2,D,1995-09-02,"Milford, MI"
Rod Schutt,2,0,0,0,0,1977-1978,1,L,1956-10-13,"Bancroft, ONT"
John Scott,1,0,0,0,2,2015-2016,1,L,1982-09-26,"Edmonton, ALTA"
Ben Scrivens,15,0,0,0,0,2015-2016,1,G,1986-09-11,"Spruce Grove, ALTA"
Jiri Sekac,50,7,9,16,18,2014-2015,1,R,1992-06-10,"Kladno, Czech Rep."
Alexander Semin,15,1,3,4,12,2015-2016,1,R,1984-03-03,"Krasnojarsk, Russia"
Mikhail Sergachev,4,0,0,0,0,2016-2017,1,D,1998-06-25,"Nizhnekamsk, Russia"
Pierre Sevigny,75,4,5,9,62,1993-1997,3,F,1971-09-08,"Trois-Rivieres, PQ"
Richard Sevigny,141,0,1,1,64,1979-1984,5,G,1957-11-04,"Montreal, PQ"
Sean Shanahan,4,0,0,0,0,1975-1976,1,L,1951-02-08,"Toronto, ONT"
Darryl Shannon,7,0,1,1,6,2000-2001,1,D,1968-06-21,"Barrie, ONT"
Andrew Shaw,182,41,55,96,234,2016-2019,3,R,1991-07-20,"Belleville, ONT"
Logan Shaw,30,2,4,6,8,2017-2018,1,R,1992-10-05,"Glace Bay, NS"
Bobby Sheehan,45,8,6,14,4,1969-1971,2,C,1949-01-11,"Weymouth, MA"
Steve Shutt,871,408,368,776,400,1972-1985,13,F,1952-07-01,"Toronto, ONT"
"Albert ""Babe"" Siebert",125,25,38,63,130,1936-1939,3,L,1904-01-14,"Plattsville, ONT"
Reid Simpson,25,1,1,2,63,2001-2002,1,L,1969-05-21,"Flin Flon, MAN"
Todd Simpson,6,0,0,0,14,2005-2006,1,D,1973-05-28,"North Vancouver, BC"
Alex Singbush,32,0,5,5,15,1940-1941,1,D,1914-01-31,"Winnipeg, MAN"
Glen Skov,3,0,0,0,0,1960-1961,1,C,1931-01-26,"Wheatley, ONT"
Brian Skrudland,475,78,139,217,592,1985-1993,8,C,1963-07-31,"Peace River, ALTA"
Juraj Slafkovsky,88,11,19,30,58,2022-2024,2,L,2004-03-30,"Kosice, Slovakia"
Alex Smart,8,5,2,7,0,1942-1943,1,L,,"Ottawa, ONT"
Bobby Smith,505,172,310,482,430,1983-1990,7,F,1958-02-12,"North Sydney, NS"
Des Smith,16,3,3,6,8,1938-1939,1,D,1914-02-22,"Ottawa, ONT"
Don Smith,10,1,0,1,4,1919-1920,1,,,
Stuart Smith,17,2,2,4,2,1940-1942,2,L,,"Winnipeg, MAN"
Devante Smith-Pelly,66,7,8,15,34,2014-2016,2,R,1992-06-14,"Scarborough, ONT"
Bryan Smolinski,64,8,17,25,20,2007-2008,1,C,1971-12-27,"Toledo, OH"
Stan Smrke,9,0,3,3,0,1956-1958,2,L,1928-09-02,"Belgrade, Yugoslavia"
Doug Soetaert,51,0,0,0,10,1984-1986,2,G,1956-04-21,"Edmonton, ALTA"
Brent Sopel,12,0,0,0,0,2010-2011,1,D,1977-01-07,"Calgary, ALTA"
Sheldon Souray,324,62,98,160,556,1999-2007,6,D,1976-07-13,"Elk Point, ALTA"
Jaroslav Spacek,145,4,36,40,97,2009-2012,3,D,1974-02-11,"Rokycany, Czech Rep."
Frederic St. Denis,17,1,2,3,10,2011-2012,1,D,1986-01-23,"Greenfield Park, PQ"
Dollard St. Laurent,383,19,82,101,306,1950-1958,8,D,1929-05-12,"Verdun, PQ"
Martin St. Pierre,1,0,0,0,0,2013-2014,1,C,1983-08-11,"Ottawa, ONT"
Eric Staal,21,2,1,3,2,2020-2021,1,C,1984-10-29,"Thunder Bay, ONT"
"Frank ""Butch"" Stahan‡",,,,,,1944-1945,1,D,1920-10-29,"Minnedosa, MAN"
Harold Starr,15,0,0,0,6,1932-1933,1,D,,
Brad Staubitz,19,1,0,1,48,2011-2012,1,R,1984-07-28,"Bright's Grove, ONT"
Mitchell Stephens,23,2,1,3,4,2023-2024,1,C,1997-02-05,"Peterborough, ONT"
Phil Stevens,4,0,0,0,0,1921-1922,1,D,,
Turner Stevenson,385,45,66,111,611,1992-2000,8,R,1972-05-18,"Prince George, BC"
Gaye Stewart,5,0,1,1,0,1952-1954,2,R,1923-06-28,"Fort William, ONT"
Greg Stewart,26,0,1,1,48,2007-2010,3,L,1986-05-21,"Waterloo, ONT"
P.J. Stock,20,1,2,3,32,2000-2001,1,L,1975-05-26,"Montreal, PQ"
Mark Streit,207,25,84,109,70,2005-2018,4,D,1977-12-11,"Bern, Switzerland"
Jayden Struble,31,2,2,4,11,2023-2024,1,D,2001-09-08,"Cumberland, RI"
P.K. Subban,434,63,215,278,532,2009-2016,7,D,1989-05-13,"Toronto, ONT"
Bill Summerhill,56,9,12,21,52,1937-1940,3,R,1913-07-09,"Toronto, ONT"
Niklas Sundstrom,154,19,30,49,56,2002-2006,3,R,1975-06-06,"Ornskoldsvik, Sweden"
Bill Sutherland‡,,,,,,1962-1963,1,C,1934-11-10,"Regina, SASK"
Nick Suzuki,340,88,163,251,113,2019-2024,5,C,1999-08-10,"London, ONT"
Petr Svoboda,534,39,190,229,761,1984-1992,8,D,1966-02-14,"Most, Czech Rep."
Jean-Guy Talbot,791,36,209,245,884,1954-1967,13,D,1932-07-11,"Cap del la Madeleine, PQ"
Eric Tangradi,7,0,0,0,17,2014-2015,1,L,1989-02-10,"Philadelphia, PA"
Alex Tanguay,50,16,25,41,34,2008-2009,1,L,1979-11-21,"Sainte-Justine, PQ"
Marc Tardif,245,78,79,157,289,1969-1973,4,L,1949-06-12,"Granby, PQ"
Tomas Tatar,198,57,92,149,78,2018-2021,3,L,1990-12-01,"Ilava, Slovakia"
Bill Taugher,1,0,0,0,0,1925-1926,1,G,1906-04-07,"Kingston, ONT"
Jeff Teal,6,0,1,1,0,1984-1985,1,F,1960-05-30,"Edina, MN"
Joel Teasdale,2,0,1,1,0,2022-2023,1,L,1999-03-11,"Repentigny, PQ"
Chris Terry,14,2,2,4,4,2016-2017,1,L,1989-04-07,"Brampton, ONT"
Orval Tessier,4,0,0,0,0,1954-1955,1,C,1933-06-30,"Cornwall, ONT"
Jose Theodore,353,1,8,9,20,1995-2006,10,G,1976-09-13,"Laval, PQ"
Gilles Thibaudeau,58,12,15,27,6,1986-1989,3,C,1963-03-04,"Montreal, PQ"
Jocelyn Thibault,158,0,2,2,2,1995-1999,4,G,1975-01-12,"Montreal, PQ"
Larry Thibeault,1,0,0,0,0,1945-1946,1,L,1918-10-02,"Charlestone, ONT"
Christian Thomas,25,1,2,3,9,2013-2016,3,L,1992-05-26,"Toronto, ONT"
Wayne Thomas,52,0,2,2,8,1972-1974,2,G,1947-09-09,"Ottawa, ONT"
Nate Thompson,88,5,16,21,21,2018-2020,2,C,1984-10-05,"Anchorage, AK"
Rhys Thomson,7,0,0,0,16,1939-1940,1,D,1918-08-09,"Toronto, ONT"
Scott Thornton,222,25,26,51,443,1996-2000,4,C,1971-01-09,"London, ONT"
Chris Tierney,23,1,6,7,4,2022-2023,1,C,1994-07-01,"Keswick, ONT"
Jarred Tinordi,46,0,6,6,66,2012-2016,4,D,1992-02-20,"Millersville, MD"
Tyler Toffoli,89,37,33,70,28,2020-2022,2,R,1992-04-24,"Scarborough, ONT"
Dustin Tokarski,26,0,1,1,0,2013-2016,3,G,1989-09-16,"Watson, SASK"
Larry Trader,30,2,4,6,19,1987-1988,1,D,1963-07-07,"Barry's Bay, ONT"
Bobby Trapp,1,0,0,0,0,1932-1933,1,D,,
Patrick Traverse,109,4,19,23,48,2000-2003,3,D,1974-03-14,"Montreal, PQ"
Gilles Tremblay,509,168,162,330,161,1960-1969,9,L,1938-12-18,"Montmorency, PQ"
J.C. Tremblay,794,57,306,363,204,1959-1972,13,D,1939-01-22,"Bagotville, PQ"
Marcel Tremblay,10,0,2,2,0,1938-1939,1,R,1914-07-04,"St. Boniface, MAN"
Mario Tremblay,852,258,326,584,1043,1974-1986,12,F,1956-09-02,"Alma, PQ"
Nils Tremblay,3,0,1,1,0,1944-1946,2,C,1923-07-26,"Murray Bay, PQ"
Brock Trotter,2,0,0,0,0,2009-2010,1,C,1987-01-16,"Brandon, MAN"
Louis Trudel,94,22,23,45,28,1938-1941,3,L,1912-07-21,"Salem, MA"
Darcy Tucker,115,8,18,26,167,1995-1998,3,C,1975-03-15,"Castor, ALTA"
Connie Tudin,4,0,1,1,4,1941-1942,1,L,1917-07-27,"Ottawa, ONT"
Ron Tugnutt,15,0,0,0,0,1993-1995,2,G,1967-10-22,"Scarborough, ONT"
